id,name,pos,team_name,price,selected_by,status,pen1,prior,benched,minutes_season,xp_h,xp_next,p_start,games,starts_actual,value
1,Raya,GK,ARS,6.0,38.9,a,False,False,False,270,23.77719572243045,4.108246833336432,0.959,6,1.0,3.962865953738408
2,Arrizabalaga,GK,ARS,4.9,0.1,a,False,True,False,0,12.410977624172059,2.107160596495091,0.462,6,0.0,2.5328525763616443
3,Meslier,GK,ARS,4.9,0.0,a,False,True,False,0,10.202492460817975,1.7321995696457502,0.38000000000000006,6,0.0,2.0821413185342803
4,Gabriel,DEF,ARS,8.0,24.6,a,False,False,False,270,30.113787824078692,5.199679778941587,0.9289999999999999,6,1.0,3.7642234780098365
5,J.Timber,DEF,ARS,6.5,0.1,d,False,False,False,0,6.700056791245996,0.5210892075669926,0.2293333333333333,6,0.0,1.0307779678839994
6,Saliba,DEF,ARS,5.9,0.2,i,False,False,False,0,4.435135329315784,0.0,0.17,6,0.0,0.7517178524264041
7,Lewis-Skelly,MID,ARS,5.5,0.7,a,False,False,False,226,8.260084299925902,1.3966203292056096,0.6,6,1.0,1.5018335090774366
8,Calafiori,DEF,ARS,5.7,47.9,a,False,False,False,236,25.132219516951356,4.319219159439691,0.83,6,1.0,4.409161318763395
9,Hincapie,DEF,ARS,5.3,1.1,a,False,False,False,32,7.3393349947018125,1.281739863245552,0.258,6,0.0,1.3847801876795873
10,White,DEF,ARS,5.5,7.6,a,False,False,False,270,19.913248516965915,3.463164649040255,0.691,6,1.0,3.620590639448348
11,Mosquera,DEF,ARS,5.4,3.3,d,False,False,False,168,10.537267830641515,1.6377482433771031,0.428,6,0.6666666666666666,1.9513458945632434
12,Saka,MID,ARS,9.5,11.4,a,True,False,False,246,32.67463981014245,5.317316393302123,0.886,6,1.0,3.439435769488679
13,Rice,MID,ARS,7.4,13.5,a,False,False,False,241,25.325035059462934,4.208120325816759,0.967,6,1.0,3.4223020350625584
14,Eze,MID,ARS,6.4,1.3,a,False,False,False,59,7.9276858955722105,1.3026355363865925,0.31,6,0.0,1.2387009211831579
15,Ødegaard,MID,ARS,6.6,14.4,a,False,False,False,221,22.789584759569596,3.7483437772022747,0.777,6,1.0,3.452967387813575
16,Madueke,MID,ARS,6.3,0.2,a,False,False,False,23,5.529941566908592,0.9160836692212336,0.225,6,0.0,0.8777685026839035
17,Merino,MID,ARS,5.9,0.5,a,False,False,False,46,4.917728916258895,0.8072368680631256,0.161,6,0.0,0.8335133756371008
18,Martinelli,MID,ARS,6.3,0.1,u,False,False,False,0,1.9274313650084163,0.0,0.07133333333333333,6,0.0,0.30594148650927244
19,Zubimendi,MID,ARS,5.4,0.7,a,False,False,False,50,7.4125593221485415,1.237998565375099,0.349,6,0.0,1.3726961707682483
20,Dowman,MID,ARS,5.3,0.1,a,False,True,False,0,4.44411295311563,0.7404793202976467,0.228,6,0.0,0.8385118779463452
